DateTime,Date,Hour,Entrances
2022-10-08 15:00:00,2022-10-08,15,399
2022-10-08 16:00:00,2022-10-08,16,425
2022-10-08 17:00:00,2022-10-08,17,402
2022-10-08 18:00:00,2022-10-08,18,389
2022-10-08 19:00:00,2022-10-08,19,479
2022-10-08 20:00:00,2022-10-08,20,378
2022-10-08 21:00:00,2022-10-08,21,140
2022-10-08 22:00:00,2022-10-08,22,1
2022-10-10 06:00:00,2022-10-10,6,184
2022-10-10 07:00:00,2022-10-10,7,142
2022-10-10 08:00:00,2022-10-10,8,219
2022-10-10 09:00:00,2022-10-10,9,290
2022-10-10 10:00:00,2022-10-10,10,319
2022-10-10 11:00:00,2022-10-10,11,296
2022-10-10 12:00:00,2022-10-10,12,298
2022-10-10 13:00:00,2022-10-10,13,262
2022-10-10 14:00:00,2022-10-10,14,284
2022-10-10 15:00:00,2022-10-10,15,312
2022-10-10 16:00:00,2022-10-10,16,415
2022-10-10 17:00:00,2022-10-10,17,399
2022-10-10 18:00:00,2022-10-10,18,457
2022-10-10 19:00:00,2022-10-10,19,369
2022-10-10 20:00:00,2022-10-10,20,305
2022-10-10 21:00:00,2022-10-10,21,291
2022-10-10 22:00:00,2022-10-10,22,120
2022-10-10 23:00:00,2022-10-10,23,14
2022-10-11 06:00:00,2022-10-11,6,221
2022-10-11 07:00:00,2022-10-11,7,167
2022-10-11 08:00:00,2022-10-11,8,217
2022-10-11 09:00:00,2022-10-11,9,298
2022-10-11 10:00:00,2022-10-11,10,291
2022-10-11 11:00:00,2022-10-11,11,338
2022-10-11 12:00:00,2022-10-11,12,249
2022-10-11 13:00:00,2022-10-11,13,256
2022-10-11 14:00:00,2022-10-11,14,316
2022-10-11 15:00:00,2022-10-11,15,304
2022-10-11 16:00:00,2022-10-11,16,394
2022-10-11 17:00:00,2022-10-11,17,382
2022-10-11 18:00:00,2022-10-11,18,396
2022-10-11 19:00:00,2022-10-11,19,336
2022-10-11 20:00:00,2022-10-11,20,302
2022-10-11 21:00:00,2022-10-11,21,198
2022-10-11 22:00:00,2022-10-11,22,135
2022-10-11 23:00:00,2022-10-11,23,27
2022-10-12 06:00:00,2022-10-12,6,167
2022-10-12 07:00:00,2022-10-12,7,120
2022-10-12 08:00:00,2022-10-12,8,232
2022-10-12 09:00:00,2022-10-12,9,276
2022-10-12 10:00:00,2022-10-12,10,292
2022-10-12 11:00:00,2022-10-12,11,308
2022-10-12 12:00:00,2022-10-12,12,283
2022-10-12 13:00:00,2022-10-12,13,223
2022-10-12 14:00:00,2022-10-12,14,308
2022-10-12 15:00:00,2022-10-12,15,271
2022-10-12 16:00:00,2022-10-12,16,391
2022-10-12 17:00:00,2022-10-12,17,373
2022-10-12 18:00:00,2022-10-12,18,362
2022-10-12 19:00:00,2022-10-12,19,347
2022-10-12 20:00:00,2022-10-12,20,273
2022-10-12 21:00:00,2022-10-12,21,217
2022-10-12 22:00:00,2022-10-12,22,126
2022-10-12 23:00:00,2022-10-12,23,18
2022-10-13 05:00:00,2022-10-13,5,14
2022-10-13 06:00:00,2022-10-13,6,160
2022-10-13 07:00:00,2022-10-13,7,147
2022-10-13 08:00:00,2022-10-13,8,182
2022-10-13 09:00:00,2022-10-13,9,241
2022-10-13 10:00:00,2022-10-13,10,277
2022-10-13 11:00:00,2022-10-13,11,371
